SYMBOL,title
BURNPUR,BURNPUR: Burnpur Cement Limited
BUTTERFLY,BUTTERFLY: Butterfly Gandhimathi Appliances Limited
BVCL,BVCL: Barak Valley Cements Limited
BYKE,BYKE: The Byke Hospitality Ltd
CALSOFT,CALSOFT: California Software Company Limited
CAMLINFINE,CAMLINFINE: Camlin Fine Sciences Limited
CAMPUS,CAMPUS: Campus Activewear Limited
CAMS,CAMS: Computer Age Management Services Limited
CANBK,CANBK: Canara Bank
CANFINHOME,CANFINHOME: Can Fin Homes Limited
CANTABIL,CANTABIL: Cantabil Retail India Limited
CAPACITE,CAPACITE: Capacit'e Infraprojects Limited
CAPITALSFB,CAPITALSFB: Capital Small Finance Bank Limited
CAPLIPOINT,CAPLIPOINT: Caplin Point Laboratories Limited
CAPTRUST,CAPTRUST: Capital Trust Limited
CARBORUNIV,CARBORUNIV: Carborundum Universal Limited
CAREERP,CAREERP: Career Point Limited
CARERATING,CARERATING: CARE Ratings Limited
CARTRADE,CARTRADE: Cartrade Tech Limited
CARYSIL,CARYSIL: CARYSIL LIMITED
CASTROLIND,CASTROLIND: Castrol India Limited
CCHHL,CCHHL: Country Club Hospitality & Holidays Limited
CCL,CCL: CCL Products (India) Limited
CDSL,CDSL: Central Depository Services (India) Limited
CEATLTD,CEATLTD: CEAT Limited
CELEBRITY,CELEBRITY: Celebrity Fashions Limited
CELLO,CELLO: Cello World Limited
CENTENKA,CENTENKA: Century Enka Limited
CENTEXT,CENTEXT: Century Extrusions Limited
CENTRALBK,CENTRALBK: Central Bank of India
CENTRUM,CENTRUM: Centrum Capital Limited
CENTUM,CENTUM: Centum Electronics Limited
CENTURYPLY,CENTURYPLY: Century Plyboards (India) Limited
CENTURYTEX,CENTURYTEX: Century Textiles & Industries Limited
CERA,CERA: Cera Sanitaryware Limited
CEREBRAINT,CEREBRAINT: Cerebra Integrated Technologies Limited
CESC,CESC: CESC Limited
CGCL,CGCL: Capri Global Capital Limited
CGPOWER,CGPOWER: CG Power and Industrial Solutions Limited
CHALET,CHALET: Chalet Hotels Limited
CHAMBLFERT,CHAMBLFERT: Chambal Fertilizers & Chemicals Limited
CHEMBOND,CHEMBOND: Chembond Chemicals Ltd
CHEMCON,CHEMCON: Chemcon Speciality Chemicals Limited
CHEMFAB,CHEMFAB: Chemfab Alkalis Limited
CHEMPLASTS,CHEMPLASTS: Chemplast Sanmar Limited
CHENNPETRO,CHENNPETRO: Chennai Petroleum Corporation Limited
CHEVIOT,CHEVIOT: Cheviot Company Limited
CHOICEIN,CHOICEIN: Choice International Limited
CHOLAFIN,CHOLAFIN: Cholamandalam Investment and Finance Company Limited
CHOLAHLDNG,CHOLAHLDNG: Cholamandalam Financial Holdings Limited
CIEINDIA,CIEINDIA: CIE Automotive India Limited
CIGNITITEC,CIGNITITEC: Cigniti Technologies Limited
CINELINE,CINELINE: Cineline India Limited
CINEVISTA,CINEVISTA: Cinevista Limited
CIPLA,CIPLA: Cipla Limited
CLEAN,CLEAN: Clean Science and Technology Limited
CLEDUCATE,CLEDUCATE: CL Educate Limited
CLSEL,CLSEL: Chaman Lal Setia Exports Limited
CMSINFO,CMSINFO: CMS Info Systems Limited
COALINDIA,COALINDIA: Coal India Limited
COASTCORP,COASTCORP: Coastal Corporation Limited
COCHINSHIP,COCHINSHIP: Cochin Shipyard Limited
COFFEEDAY,COFFEEDAY: Coffee Day Enterprises Limited
COFORGE,COFORGE: Coforge Limited
COLPAL,COLPAL: Colgate Palmolive (India) Limited
COMPINFO,COMPINFO: Compuage Infocom Limited
COMPUSOFT,COMPUSOFT: Compucom Software Limited
COMSYN,COMSYN: Commercial Syn Bags Limited
CONCOR,CONCOR: Container Corporation of India Limited
CONCORDBIO,CONCORDBIO: Concord Biotech Limited
CONFIPET,CONFIPET: Confidence Petroleum India Limited
CONSOFINVT,CONSOFINVT: Consolidated Finvest & Holdings Limited
CONTROLPR,CONTROLPR: Control Print Limited
CORALFINAC,CORALFINAC: Coral India Finance & Housing Limited
CORDSCABLE,CORDSCABLE: Cords Cable Industries Limited
COROMANDEL,COROMANDEL: Coromandel International Limited
COSMOFIRST,COSMOFIRST: COSMO FIRST LIMITED
COUNCODOS,COUNCODOS: Country Condo's Limited
CRAFTSMAN,CRAFTSMAN: Craftsman Automation Limited
CREATIVE,CREATIVE: Creative Newtech Limited
CREATIVEYE,CREATIVEYE: Creative Eye Limited
CREDITACC,CREDITACC: CREDITACCESS GRAMEEN LIMITED
CREST,CREST: Crest Ventures Limited
CRISIL,CRISIL: CRISIL Limited
CROMPTON,CROMPTON: Crompton Greaves Consumer Electricals Limited
CROWN,CROWN: Crown Lifters Limited
CSBBANK,CSBBANK: CSB Bank Limited
CSLFINANCE,CSLFINANCE: CSL Finance Limited
CTE,CTE: Cambridge Technology Enterprises Limited
CUB,CUB: City Union Bank Limited
CUBEXTUB,CUBEXTUB: Cubex Tubings Limited
CUMMINSIND,CUMMINSIND: Cummins India Limited
CUPID,CUPID: Cupid Limited
CYBERMEDIA,CYBERMEDIA: Cyber Media (India) Limited
CYBERTECH,CYBERTECH: Cybertech Systems And Software Limited
CYIENT,CYIENT: Cyient Limited
CYIENTDLM,CYIENTDLM: Cyient DLM Limited
DABUR,DABUR: Dabur India Limited
DALBHARAT,DALBHARAT: Dalmia Bharat Limited
DALMIASUG,DALMIASUG: Dalmia Bharat Sugar and Industries Limited
DAMODARIND,DAMODARIND: Damodar Industries Limited
DANGEE,DANGEE: Dangee Dums Limited
DATAMATICS,DATAMATICS: Datamatics Global Services Limited
DATAPATTNS,DATAPATTNS: Data Patterns (India) Limited
DAVANGERE,DAVANGERE: Davangere Sugar Company Limited
DBCORP,DBCORP: D.B.Corp Limited
DBL,DBL: Dilip Buildcon Limited
DBOL,DBOL: Dhampur Bio Organics Limited
DBREALTY,DBREALTY: Valor Estate Limited
DBSTOCKBRO,DBSTOCKBRO: DB (International) Stock Brokers Limited
DCAL,DCAL: Dishman Carbogen Amcis Limited
DCBBANK,DCBBANK: DCB Bank Limited
DCI,DCI: Dc Infotech And Communication Limited
DCM,DCM: DCM  Limited
DCMFINSERV,DCMFINSERV: DCM Financial Services Limited
DCMNVL,DCMNVL: DCM Nouvelle Limited
DCMSHRIRAM,DCMSHRIRAM: DCM Shriram Limited
DCMSRIND,DCMSRIND: DCM Shriram Industries Limited
DCW,DCW: DCW Limited
DCXINDIA,DCXINDIA: DCX Systems Limited
DECCANCE,DECCANCE: Deccan Cements Limited
DEEDEV,DEEDEV: DEE Development Engineers Limited
DEEPAKFERT,DEEPAKFERT: Deepak Fertilizers and Petrochemicals Corporation Limited
DEEPAKNTR,DEEPAKNTR: Deepak Nitrite Limited
DEEPENR,DEEPENR: DEEP ENERGY RESOURCES LIMITED
DEEPINDS,DEEPINDS: Deep Industries Limited
DELHIVERY,DELHIVERY: Delhivery Limited
DELPHIFX,DELPHIFX: DELPHI WORLD MONEY LIMITED
DELTACORP,DELTACORP: Delta Corp Limited
DELTAMAGNT,DELTAMAGNT: Delta Manufacturing Limited
DEN,DEN: Den Networks Limited
DENORA,DENORA: De Nora India Limited
DEVIT,DEVIT: Dev Information Technology Limited
DEVYANI,DEVYANI: Devyani International Limited
DGCONTENT,DGCONTENT: Digicontent Limited
DHAMPURSUG,DHAMPURSUG: Dhampur Sugar Mills Limited
DHANBANK,DHANBANK: Dhanlaxmi Bank Limited
DHANI,DHANI: Dhani Services Limited
DHANUKA,DHANUKA: Dhanuka Agritech Limited
DHARMAJ,DHARMAJ: Dharmaj Crop Guard Limited
DHRUV,DHRUV: Dhruv Consultancy Services Limited
DHUNINV,DHUNINV: Dhunseri Investments Limited
DIACABS,DIACABS: Diamond Power Infrastructure Limited
DIAMINESQ,DIAMINESQ: Diamines & Chemicals Limited
DIAMONDYD,DIAMONDYD: Prataap Snacks Limited
DICIND,DICIND: DIC India Limited
DIGIDRIVE,DIGIDRIVE: Digidrive Distributors Limited
DIGISPICE,DIGISPICE: DiGiSPICE Technologies Limited
DIGJAMLMTD,DIGJAMLMTD: Digjam Limited
DIL,DIL: Debock Industries Limited
DISHTV,DISHTV: Dish TV India Limited
DIVGIITTS,DIVGIITTS: Divgi Torqtransfer Systems Limited
DIVISLAB,DIVISLAB: Divi's Laboratories Limited
DIXON,DIXON: Dixon Technologies (India) Limited
DJML,DJML: DJ Mediaprint & Logistics Limited
DLF,DLF: DLF Limited
DLINKINDIA,DLINKINDIA: D-Link (India) Limited
DMART,DMART: Avenue Supermarts Limited
DMCC,DMCC: DMCC SPECIALITY CHEMICALS LIMITED
DNAMEDIA,DNAMEDIA: Diligent Media Corporation Limited
DODLA,DODLA: Dodla Dairy Limited
DOLATALGO,DOLATALGO: Dolat Algotech Limited
DOLLAR,DOLLAR: Dollar Industries Limited
DOLPHIN,DOLPHIN: Dolphin Offshore Enterprises (India) Limited
DOMS,DOMS: DOMS Industries Limited
DONEAR,DONEAR: Donear Industries Limited
DPABHUSHAN,DPABHUSHAN: D. P. Abhushan Limited
DPSCLTD,DPSCLTD: DPSC Limited
DPWIRES,DPWIRES: D P Wires Limited
DRCSYSTEMS,DRCSYSTEMS: DRC Systems India Limited
DREAMFOLKS,DREAMFOLKS: Dreamfolks Services Limited
DREDGECORP,DREDGECORP: Dredging Corporation of India Limited
DRREDDY,DRREDDY: Dr. Reddy's Laboratories Limited
DSSL,DSSL: Dynacons Systems & Solutions Limited
DTIL,DTIL: Dhunseri Tea & Industries Limited
DUCON,DUCON: Ducon Infratechnologies Limited
DVL,DVL: Dhunseri Ventures Limited
DWARKESH,DWARKESH: Dwarikesh Sugar Industries Limited
DYCL,DYCL: Dynamic Cables Limited
DYNAMATECH,DYNAMATECH: Dynamatic Technologies Limited
DYNPRO,DYNPRO: Dynemic Products Limited
E2E,E2E: E2E Networks Limited
EASEMYTRIP,EASEMYTRIP: Easy Trip Planners Limited
ECLERX,ECLERX: eClerx Services Limited
EDELWEISS,EDELWEISS: Edelweiss Financial Services Limited
EICHERMOT,EICHERMOT: Eicher Motors Limited
EIDPARRY,EIDPARRY: EID Parry India Limited
EIFFL,EIFFL: Euro India Fresh Foods Limited
EIHAHOTELS,EIHAHOTELS: EIH Associated Hotels Limited
EIHOTEL,EIHOTEL: EIH Limited
EIMCOELECO,EIMCOELECO: Eimco Elecon (India) Limited
EKC,EKC: Everest Kanto Cylinder Limited
ELDEHSG,ELDEHSG: Eldeco Housing And Industries Limited
ELECON,ELECON: Elecon Engineering Company Limited
ELECTCAST,ELECTCAST: Electrosteel Castings Limited
ELECTHERM,ELECTHERM: Electrotherm (India) Limited
ELGIEQUIP,ELGIEQUIP: Elgi Equipments Limited
ELGIRUBCO,ELGIRUBCO: Elgi Rubber Company Limited
ELIN,ELIN: Elin Electronics Limited
EMAMILTD,EMAMILTD: Emami Limited
EMAMIPAP,EMAMIPAP: Emami Paper Mills Limited
EMAMIREAL,EMAMIREAL: Emami Realty Limited
EMBDL,EMBDL: Equinox India Developments Limited
EMCURE,EMCURE: Emcure Pharmaceuticals Limited
EMIL,EMIL: Electronics Mart India Limited
EMKAY,EMKAY: Emkay Global Financial Services Limited
EMMBI,EMMBI: Emmbi Industries Limited
EMSLIMITED,EMSLIMITED: EMS Limited
EMUDHRA,EMUDHRA: eMudhra Limited
ENDURANCE,ENDURANCE: Endurance Technologies Limited
